name,price,rating,store,image
Xiaomi Redmi Note 10 Pro 8/128GB 6/64GB Garansi Resmi TAM 64 GB 128 GB,Rp3.639.000,4.8,Distributor Ponsel,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/26/e1a1d73a-5d86-4633-b8b4-fd351d625d5f.jpg.webp?ect=4g
XIAOMI REDMI NOTE 10S 8/128 GB REDMI NOTE 10S 6/64 GB GARANSI RESMI,Rp2.685.000,5.0,STR-STORE,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/24/f0a41dc2-105e-4031-88a9-aa41e6df92ed.png.webp?ect=4g
Itel Vision 1 Pro ( 2/32Gb / 3/32Gb ) Garansi Resmi by Infinix,Rp1.017.000,4.9,murahmeriah shop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/17/8d69c008-48d1-4bb1-86b1-c9a7a969ca6d.jpg.webp?ect=4g
Xiaomi Poco X3 Pro 8/256GB 6/128GB Garansi resmi 8 GB 256 GB 6 GB 128,Rp3.420.000,4.8,Distributor Ponsel,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/26/d46e2ddc-337d-42b6-a255-6cc9159f6dd5.jpg.webp?ect=4g
Xiaomi Poco X3 GT - 8GB 256GB (8/256) - New Original Garansi Resmi,Rp4.565.000,5.0,CA Shop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/20/60fb5c3d-0771-4b7e-bc74-f8e435ca273f.jpg.webp?ect=4g
Infinix Hot 10 S 6/128 GB Garansi Resmi,Rp1.990.000,5.0,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/d13b609a-2901-4db6-84ba-e8a77527752c.jpg.webp?ect=4g
IPhone 12 Garansi Resmi Ibox,Rp12.299.000,4.9,PT Pratama Sntra Semesta,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/2/0450cdc0-4212-4456-bf7e-e4131782cfe5.png.webp?ect=4g
IPhone 12 Mini Garansi Resmi Ibox,Rp11.690.000,5.0,PT Pratama Sntra Semesta,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/2/1bdbd918-e808-40b1-84cb-b8fc89948065.png.webp?ect=4g
Apple iPhone 12 Pro Max 256GB - Garansi Resmi iBox Apple Indonesia,Rp19.550.000,5.0,Universe Store,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/18/45666837-24a0-453e-bedb-719069c022fd.jpg.webp?ect=4g
Infinix Smart 5 3/64 GB Garansi Resmi,Rp1.394.000,4.9,Gudang-HP,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/92bb0872-7767-483e-ba0e-d1fa35bfa8b1.jpg.webp?ect=4g
Oppo Reno 5 8GB+128GB Garansi Resmi Oppo 1 Tahun,Rp4.139.000,4.9,36shop,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/28/4781ea80-79af-4869-a48e-54dde522ee5e.jpg.webp?ect=4g
Vivo V21 Ram 8gb + 3gb 128gb 5G new resmi vivo,Rp4.660.000,5.0,RNR301,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/6/29f903d3-5426-44b9-8ce8-dc6467b6da3f.jpg.webp?ect=4g
REALME C12 3/32GB Garansi Resmi,Rp1.450.000,4.5,WIJAYA TAWANGMANGU,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/1/10339271-a3ba-446e-a683-c918a9ea5248.jpg.webp?ect=4g
OPPO F1s Ram 4/32GB NEW GARANSI 1 TAHUN - Gold,Rp736.000,4.0,Gadget Mii,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/9/afb8274e-614a-4de8-889d-faa6a27e6737.png.webp?ect=4g
